Step,n_bits: 40 - eval/success_count,n_bits: 40 - eval/success_count__MIN,n_bits: 40 - eval/success_count__MAX
194,0.360000014,0.360000014,0.360000014
195,0.550000012,0.550000012,0.550000012
196,0.540000021,0.540000021,0.540000021
197,0.419999987,0.419999987,0.419999987
198,0.600000024,0.600000024,0.600000024
199,0.5,0.5,0.5
200,0.550000012,0.550000012,0.550000012
201,0.550000012,0.550000012,0.550000012
202,0.49000001,0.49000001,0.49000001
203,0.569999993,0.569999993,0.569999993
204,0.600000024,0.600000024,0.600000024
205,0.449999988,0.449999988,0.449999988
206,0.560000002,0.560000002,0.560000002
207,0.629999995,0.629999995,0.629999995
208,0.649999976,0.649999976,0.649999976
209,0.540000021,0.540000021,0.540000021
210,0.620000005,0.620000005,0.620000005
211,0.670000017,0.670000017,0.670000017
212,0.75,0.75,0.75
213,0.629999995,0.629999995,0.629999995
214,0.620000005,0.620000005,0.620000005
215,0.610000014,0.610000014,0.610000014
216,0.699999988,0.699999988,0.699999988
217,0.550000012,0.550000012,0.550000012
218,0.720000029,0.720000029,0.720000029
219,0.75,0.75,0.75
220,0.709999979,0.709999979,0.709999979
221,0.730000019,0.730000019,0.730000019
222,0.730000019,0.730000019,0.730000019
223,0.709999979,0.709999979,0.709999979
224,0.689999998,0.689999998,0.689999998
225,0.660000026,0.660000026,0.660000026
226,0.75999999,0.75999999,0.75999999
227,0.730000019,0.730000019,0.730000019
228,0.660000026,0.660000026,0.660000026
229,0.670000017,0.670000017,0.670000017
230,0.800000012,0.800000012,0.800000012
231,0.730000019,0.730000019,0.730000019
232,0.699999988,0.699999988,0.699999988
233,0.720000029,0.720000029,0.720000029
234,0.769999981,0.769999981,0.769999981
235,0.769999981,0.769999981,0.769999981
236,0.779999971,0.779999971,0.779999971
237,0.639999986,0.639999986,0.639999986
238,0.790000021,0.790000021,0.790000021
239,0.829999983,0.829999983,0.829999983
240,0.829999983,0.829999983,0.829999983
241,0.779999971,0.779999971,0.779999971
242,0.769999981,0.769999981,0.769999981
243,0.790000021,0.790000021,0.790000021
244,0.819999993,0.819999993,0.819999993
245,0.839999974,0.839999974,0.839999974
246,0.810000002,0.810000002,0.810000002
247,0.870000005,0.870000005,0.870000005
248,0.889999986,0.889999986,0.889999986
249,0.800000012,0.800000012,0.800000012
250,0.730000019,0.730000019,0.730000019
251,0.899999976,0.899999976,0.899999976
252,0.879999995,0.879999995,0.879999995
253,0.860000014,0.860000014,0.860000014
254,0.889999986,0.889999986,0.889999986
255,0.879999995,0.879999995,0.879999995
256,0.879999995,0.879999995,0.879999995
257,0.930000007,0.930000007,0.930000007
258,0.930000007,0.930000007,0.930000007
259,0.850000024,0.850000024,0.850000024
260,0.860000014,0.860000014,0.860000014
261,0.810000002,0.810000002,0.810000002
262,0.930000007,0.930000007,0.930000007
263,0.899999976,0.899999976,0.899999976
264,0.949999988,0.949999988,0.949999988
265,0.779999971,0.779999971,0.779999971
266,0.879999995,0.879999995,0.879999995
267,0.879999995,0.879999995,0.879999995
