"Step","n_bits: 50 - eval/success_count","n_bits: 50 - eval/success_count__MIN","n_bits: 50 - eval/success_count__MAX"
"77","0.05000000074505806","0.05000000074505806","0.05000000074505806"
"78","0.07999999821186066","0.07999999821186066","0.07999999821186066"
"79","0.07999999821186066","0.07999999821186066","0.07999999821186066"
"80","0.09000000357627869","0.09000000357627869","0.09000000357627869"
"81","0.05000000074505806","0.05000000074505806","0.05000000074505806"
"82","0.09000000357627869","0.09000000357627869","0.09000000357627869"
"83","0.07000000029802322","0.07000000029802322","0.07000000029802322"
"84","0.05999999865889549","0.05999999865889549","0.05999999865889549"
"85","0.07999999821186066","0.07999999821186066","0.07999999821186066"
"86","0.07000000029802322","0.07000000029802322","0.07000000029802322"
"87","0.029999999329447746","0.029999999329447746","0.029999999329447746"
"88","0.03999999910593033","0.03999999910593033","0.03999999910593033"
"89","0.03999999910593033","0.03999999910593033","0.03999999910593033"
"90","0.05000000074505806","0.05000000074505806","0.05000000074505806"
"91","0.12999999523162842","0.12999999523162842","0.12999999523162842"
"92","0.07999999821186066","0.07999999821186066","0.07999999821186066"
"93","0.10000000149011612","0.10000000149011612","0.10000000149011612"
"94","0.10999999940395355","0.10999999940395355","0.10999999940395355"
"95","0.10999999940395355","0.10999999940395355","0.10999999940395355"
"96","0.019999999552965164","0.019999999552965164","0.019999999552965164"
"97","0.09000000357627869","0.09000000357627869","0.09000000357627869"
"98","0.10999999940395355","0.10999999940395355","0.10999999940395355"
"99","0.15000000596046448","0.15000000596046448","0.15000000596046448"
"100","0.09000000357627869","0.09000000357627869","0.09000000357627869"
"101","0.10000000149011612","0.10000000149011612","0.10000000149011612"
"102","0.05000000074505806","0.05000000074505806","0.05000000074505806"
"103","0.20000000298023224","0.20000000298023224","0.20000000298023224"
"104","0.15000000596046448","0.15000000596046448","0.15000000596046448"
"105","0.2199999988079071","0.2199999988079071","0.2199999988079071"
"106","0.15000000596046448","0.15000000596046448","0.15000000596046448"
"107","0.11999999731779099","0.11999999731779099","0.11999999731779099"
"108","0.20000000298023224","0.20000000298023224","0.20000000298023224"
"109","0.11999999731779099","0.11999999731779099","0.11999999731779099"
"110","0.20000000298023224","0.20000000298023224","0.20000000298023224"
"111","0.18000000715255737","0.18000000715255737","0.18000000715255737"
"112","0.18000000715255737","0.18000000715255737","0.18000000715255737"
"113","0.25","0.25","0.25"
"114","0.20000000298023224","0.20000000298023224","0.20000000298023224"
"115","0.25","0.25","0.25"
"116","0.2199999988079071","0.2199999988079071","0.2199999988079071"
"117","0.2199999988079071","0.2199999988079071","0.2199999988079071"
"118","0.15000000596046448","0.15000000596046448","0.15000000596046448"
"119","0.3499999940395355","0.3499999940395355","0.3499999940395355"
"120","0.23999999463558197","0.23999999463558197","0.23999999463558197"
"121","0.3100000023841858","0.3100000023841858","0.3100000023841858"
"122","0.28999999165534973","0.28999999165534973","0.28999999165534973"
"123","0.25","0.25","0.25"
"124","0.36000001430511475","0.36000001430511475","0.36000001430511475"
"125","0.46000000834465027","0.46000000834465027","0.46000000834465027"
"126","0.46000000834465027","0.46000000834465027","0.46000000834465027"
"127","0.3799999952316284","0.3799999952316284","0.3799999952316284"
"128","0.3499999940395355","0.3499999940395355","0.3499999940395355"
"129","0.46000000834465027","0.46000000834465027","0.46000000834465027"
"130","0.5299999713897705","0.5299999713897705","0.5299999713897705"
"131","0.4699999988079071","0.4699999988079071","0.4699999988079071"
"132","0.44999998807907104","0.44999998807907104","0.44999998807907104"
"133","0.5600000023841858","0.5600000023841858","0.5600000023841858"
"134","0.550000011920929","0.550000011920929","0.550000011920929"
"135","0.699999988079071","0.699999988079071","0.699999988079071"
"136","0.6200000047683716","0.6200000047683716","0.6200000047683716"
"137","0.5699999928474426","0.5699999928474426","0.5699999928474426"
"138","0.6399999856948853","0.6399999856948853","0.6399999856948853"
"139","0.699999988079071","0.699999988079071","0.699999988079071"
"140","0.6600000262260437","0.6600000262260437","0.6600000262260437"
"141","0.75","0.75","0.75"
"142","0.6700000166893005","0.6700000166893005","0.6700000166893005"
"143","0.7200000286102295","0.7200000286102295","0.7200000286102295"
"144","0.6600000262260437","0.6600000262260437","0.6600000262260437"
"145","0.7599999904632568","0.7599999904632568","0.7599999904632568"
"146","0.7900000214576721","0.7900000214576721","0.7900000214576721"
"147","0.75","0.75","0.75"
"148","0.8500000238418579","0.8500000238418579","0.8500000238418579"
"149","0.7699999809265137","0.7699999809265137","0.7699999809265137"
"150","0.8399999737739563","0.8399999737739563","0.8399999737739563"
"151","0.7699999809265137","0.7699999809265137","0.7699999809265137"
"152","0.8500000238418579","0.8500000238418579","0.8500000238418579"
"153","0.9100000262260437","0.9100000262260437","0.9100000262260437"
"154","0.8199999928474426","0.8199999928474426","0.8199999928474426"
"155","0.9100000262260437","0.9100000262260437","0.9100000262260437"
"156","0.9100000262260437","0.9100000262260437","0.9100000262260437"
"157","0.800000011920929","0.800000011920929","0.800000011920929"
"158","0.8299999833106995","0.8299999833106995","0.8299999833106995"
"159","0.8799999952316284","0.8799999952316284","0.8799999952316284"
"160","0.8700000047683716","0.8700000047683716","0.8700000047683716"
"161","0.9100000262260437","0.9100000262260437","0.9100000262260437"
"162","0.8700000047683716","0.8700000047683716","0.8700000047683716"
