"Step","n_bits: 10 - eval/success_count","n_bits: 10 - eval/success_count__MIN","n_bits: 10 - eval/success_count__MAX"
"1","0","0","0"
"2","0.0033333332588275275","0","0.009999999776482582"
"3","0","0","0"
"4","0","0","0"
"5","0","0","0"
"6","0.0033333332588275275","0","0.009999999776482582"
"7","0.006666666517655055","0","0.009999999776482582"
"8","0.006666666517655055","0","0.019999999552965164"
"9","0.0033333332588275275","0","0.009999999776482582"
"10","0","0","0"
"11","0.006666666517655055","0","0.009999999776482582"
"12","0.0033333332588275275","0","0.009999999776482582"
"13","0","0","0"
"14","0.0033333332588275275","0","0.009999999776482582"
"15","0.006666666517655055","0","0.009999999776482582"
"16","0","0","0"
"17","0.009999999776482582","0","0.019999999552965164"
"18","0","0","0"
"19","0","0","0"
"20","0.006666666517655055","0","0.009999999776482582"
"21","0.0033333332588275275","0","0.009999999776482582"
"22","0.006666666517655055","0","0.009999999776482582"
"23","0.006666666517655055","0","0.019999999552965164"
"24","0.0033333332588275275","0","0.009999999776482582"
"25","0.0033333332588275275","0","0.009999999776482582"
"26","0","0","0"
"27","0.0033333332588275275","0","0.009999999776482582"
"28","0.006666666517655055","0","0.009999999776482582"
"29","0.01333333303531011","0","0.019999999552965164"
"30","0.0033333332588275275","0","0.009999999776482582"
"31","0.0033333332588275275","0","0.009999999776482582"
"32","0","0","0"
"33","0.0033333332588275275","0","0.009999999776482582"
"34","0.0033333332588275275","0","0.009999999776482582"
"35","0.0033333332588275275","0","0.009999999776482582"
"36","0.006666666517655055","0","0.009999999776482582"
"37","0.006666666517655055","0","0.009999999776482582"
"38","0.0033333332588275275","0","0.009999999776482582"
"39","0.006666666517655055","0","0.009999999776482582"
"40","0","0","0"
"41","0.006666666517655055","0","0.019999999552965164"
"42","0.01333333303531011","0.009999999776482582","0.019999999552965164"
"43","0.0033333332588275275","0","0.009999999776482582"
"44","0.006666666517655055","0","0.009999999776482582"
"45","0","0","0"
"46","0","0","0"
"47","0.0033333332588275275","0","0.009999999776482582"
"48","0.006666666517655055","0","0.009999999776482582"
"49","0.009999999776482582","0","0.019999999552965164"
"50","0.006666666517655055","0","0.019999999552965164"
"51","0.009999999776482582","0","0.019999999552965164"
"52","0.0033333332588275275","0","0.009999999776482582"
"53","0.019999999552965164","0","0.03999999910593033"
"54","0.009999999776482582","0.009999999776482582","0.009999999776482582"
"55","0","0","0"
"56","0.009999999776482582","0.009999999776482582","0.009999999776482582"
"57","0.006666666517655055","0","0.009999999776482582"
"58","0.01333333303531011","0.009999999776482582","0.019999999552965164"
"59","0.0033333332588275275","0","0.009999999776482582"
"60","0.009999999776482582","0.009999999776482582","0.009999999776482582"
"61","0.006666666517655055","0","0.019999999552965164"
"62","0.006666666517655055","0","0.009999999776482582"
"63","0.009999999776482582","0","0.019999999552965164"
"64","0.009999999776482582","0","0.019999999552965164"
"65","0","0","0"
"66","0","0","0"
"67","0","0","0"
"68","0.0033333332588275275","0","0.009999999776482582"
"69","0.016666666294137638","0.009999999776482582","0.029999999329447746"
"70","0.0033333332588275275","0","0.009999999776482582"
"71","0.006666666517655055","0","0.009999999776482582"
"72","0.009999999776482582","0","0.029999999329447746"
"73","0.0033333332588275275","0","0.009999999776482582"
"74","0.01333333303531011","0.009999999776482582","0.019999999552965164"
"75","0.009999999776482582","0","0.019999999552965164"
"76","0","0","0"
"77","0.0033333332588275275","0","0.009999999776482582"
"78","0","0","0"
"79","0.006666666517655055","0","0.019999999552965164"
"80","0.006666666517655055","0","0.009999999776482582"
"81","0.01333333303531011","0.009999999776482582","0.019999999552965164"
"82","0.0033333332588275275","0","0.009999999776482582"
"83","0.006666666517655055","0","0.019999999552965164"
"84","0","0","0"
"85","0.0033333332588275275","0","0.009999999776482582"
"86","0.006666666517655055","0","0.009999999776482582"
"87","0.01333333303531011","0.009999999776482582","0.019999999552965164"
"88","0.01333333303531011","0","0.019999999552965164"
"89","0.0033333332588275275","0","0.009999999776482582"
"90","0.006666666517655055","0","0.009999999776482582"
"91","0.009999999776482582","0","0.019999999552965164"
"92","0.006666666517655055","0","0.009999999776482582"
"93","0.006666666517655055","0","0.009999999776482582"
"94","0.0033333332588275275","0","0.009999999776482582"
"95","0.020000000173846882","0","0.05000000074505806"
