"Step","n_bits: 11 - eval/success_count","n_bits: 11 - eval/success_count__MIN","n_bits: 11 - eval/success_count__MAX"
"1","0.006666666517655055","0","0.009999999776482582"
"2","0","0","0"
"3","0.0033333332588275275","0","0.009999999776482582"
"4","0","0","0"
"5","0","0","0"
"6","0","0","0"
"7","0.0033333332588275275","0","0.009999999776482582"
"8","0","0","0"
"9","0","0","0"
"10","0.006666666517655055","0","0.009999999776482582"
"11","0","0","0"
"12","0","0","0"
"13","0.006666666517655055","0","0.009999999776482582"
"14","0","0","0"
"15","0","0","0"
"16","0.0033333332588275275","0","0.009999999776482582"
"17","0.0033333332588275275","0","0.009999999776482582"
"18","0.0033333332588275275","0","0.009999999776482582"
"19","0.006666666517655055","0","0.019999999552965164"
"20","0.0033333332588275275","0","0.009999999776482582"
"21","0","0","0"
"22","0.0033333332588275275","0","0.009999999776482582"
"23","0.0033333332588275275","0","0.009999999776482582"
"24","0.006666666517655055","0","0.009999999776482582"
"25","0.006666666517655055","0","0.009999999776482582"
"26","0.0033333332588275275","0","0.009999999776482582"
"27","0","0","0"
"28","0.009999999776482582","0","0.019999999552965164"
"29","0","0","0"
"30","0.0033333332588275275","0","0.009999999776482582"
"31","0.0033333332588275275","0","0.009999999776482582"
"32","0","0","0"
"33","0.0033333332588275275","0","0.009999999776482582"
"34","0.0033333332588275275","0","0.009999999776482582"
"35","0.006666666517655055","0","0.009999999776482582"
"36","0.009999999776482582","0","0.019999999552965164"
"37","0","0","0"
"38","0.0033333332588275275","0","0.009999999776482582"
"39","0","0","0"
"40","0.0033333332588275275","0","0.009999999776482582"
"41","0","0","0"
"42","0","0","0"
"43","0.0033333332588275275","0","0.009999999776482582"
"44","0.009999999776482582","0","0.019999999552965164"
"45","0","0","0"
"46","0","0","0"
"47","0","0","0"
"48","0.0033333332588275275","0","0.009999999776482582"
"49","0.0033333332588275275","0","0.009999999776482582"
"50","0.0033333332588275275","0","0.009999999776482582"
"51","0","0","0"
"52","0","0","0"
"53","0.0033333332588275275","0","0.009999999776482582"
"54","0","0","0"
"55","0","0","0"
"56","0","0","0"
"57","0","0","0"
"58","0","0","0"
"59","0.0033333332588275275","0","0.009999999776482582"
"60","0","0","0"
"61","0","0","0"
"62","0.006666666517655055","0","0.019999999552965164"
"63","0.0033333332588275275","0","0.009999999776482582"
"64","0","0","0"
"65","0","0","0"
"66","0.0033333332588275275","0","0.009999999776482582"
"67","0.006666666517655055","0","0.009999999776482582"
"68","0","0","0"
"69","0.0033333332588275275","0","0.009999999776482582"
"70","0","0","0"
"71","0","0","0"
"72","0.0033333332588275275","0","0.009999999776482582"
"73","0","0","0"
"74","0.006666666517655055","0","0.009999999776482582"
"75","0","0","0"
"76","0","0","0"
"77","0","0","0"
"78","0","0","0"
"79","0.0033333332588275275","0","0.009999999776482582"
"80","0.006666666517655055","0","0.019999999552965164"
"81","0.006666666517655055","0","0.009999999776482582"
"82","0","0","0"
"83","0.0033333332588275275","0","0.009999999776482582"
"84","0","0","0"
"85","0.0033333332588275275","0","0.009999999776482582"
"86","0.0033333332588275275","0","0.009999999776482582"
"87","0.0033333332588275275","0","0.009999999776482582"
"88","0","0","0"
"89","0","0","0"
"90","0.009999999776482582","0","0.019999999552965164"
"91","0","0","0"
"92","0.0033333332588275275","0","0.009999999776482582"
"93","0","0","0"
"94","0","0","0"
"95","0","0","0"
